ing,taas
Estrange,Dahtiris
Estuary,Jotserath
Et'ada,Diistzii
Etcetera,Fosreyzan
Eternal,Unahzaal
Eternity,Ul
Ethereal,Feimaan
Ethic,Greyziik
Ethical,Greyz
Etiquette,Prudaaven
Euthanasia,Kriilaanthuz
Evacuate,Filokrah
Evaporate,Kriilom
Even,Yel
Even,Orin
Evening,Avond
,noun
Event,Korosend
Ever,Alun
Everlasting,Unslaar
Everlastingly,Unslaar
Evermore,Unslaar
Every,Enook
Everybody,Pah
Everyone,Pah
Everything,Pah
Everything,Lein
Everywhere,Enookstaad
Evidence,Giwahdil
Evil,Vokul
Evilness,Vokulom
Eviscerate,Veyko
Evolution,Jahfir
Evolve,Jahfir
Exact,Wahzaal
Exactness,Wahzaalom
Exalt,Nonvaal
Example,Giwahdaal
Excavate,Vodeyto
Exceed,Bovortii
Excellence,Studaar
Excellency,Studaariik
Excellent,Studen
Except,Namas
Exceptional,Ahdinaak
Excess,Povaar
Excessive,Povortii
Exchange,Ofanix
Exchange,Kothrakaas
Excitation,Sotiivend
Excite,Sotiiv
Excitement,Sotiivend
Exclaim,Saagtir
Exclude,Voraavut
Excrement,Draafraan
Excuse,Sahviir
Excuse,Sahvol
Execute,Kriinuth
Execution,Kriinuth
Executioner,Kriiduth
Exemplar,Pruzeim
Exercise,Delahmul
Exhale,Tirsum
Exhaust,Gelaag
Exhibit,Ahkoraav
Exhibition,Ahkoraav
Exhume,Vodeyto
Exiguous,Malaas
Exile,Fustiroz
Exist,Ahkos
Existence,Ahkos
Exit,Lif
Exit,Lif
Exorable,Visaakrot
Exorcise,Goveyzii
Exorcism,Goveyzii
Exoskeleton,Qahseqeth
Expand,Gesaak
Expect,Zent
Expectant,Zentaal
Expel,Fustir
Expendable,Visoben
Expense,Oben
Expensive,Obenaal
Experience,Seirak
Experiment,Gorvahzen
Expert,Prulos
Explain,Gelaar
Explanation,Gelaarend
Explode,Kaag
Exploit,Sod
Explore,Rovit
Explorer,Roviik
Explosion,Kaagend
Explosive,Kaaguv
Export,Tirstaal
Expose,Gemindok
Exquisite,Hiraas
Extant,Laasagos
Extend,Gesaak
Extermination,Pahkriivah
Extinct,Frondinok
Extinction,Frondinok
Extinguish,Evenaar
Extinguisher,Kruniik
Extra,Siizuk
Extract,Sovitah
Extraordinary,Vortiilok
Extreme,Zogut
Extremist,Zogutiik
Eye,Miin
Eyeball,Miin-Ner
Eyebrow,Avokmiin
Eyelash,Miinom
Eyelid,Miinspaan
Eyes,Miin
Fable,Tey
Fabric,Riiv
Fabulous,Teynuv
Face,Luft
,noun
Facet,Luftiis
Facial,Luftuv
,noun
Fact,Eiziid
Factual,Eiziiduv
Faculty,Nemiir
Fade,Feim
Fagot,Oraakan
Fail,Funt
Failure,Funtaas
Faint,Murun
Faint,Frum
Fair,Paaz
Fairness,Paazom
Fairy,Feykrosah
Faith,Sahvot
Faithful,Sahvotei
Faithfulness,Sahvoteim
Faithless,Sahvotnu
Fake,Nisaad
Falcon,Gahrik
Fall,Mah
Fallen,Mahlaan
Falmer,Sifahliil
False,Nizah
Falsehood,Nivahzen
Falsity,Nivahzen
Falter,Hefvaak
Fame,Frah
Familiar,Feimraan
Familiar,Malmindok
Familiarize,Malmind
Familicide,Kriifron
Family,Ragnavir
Famine,Kipnu
Famish,Gebahlok
Famished,Kipnu
Famous,Frahkei
Fan,Meyarven
Fanatic,Meyrothaar
Fanaticism,Meyrothaarun
Fancy,Elskah
Fang,Iisk
Fantasize,Verwahsar
Fantastic,Frahraam
Fantastical,Wahsaruv
Fantasy,Wahsar
Far,Gut
Fare,Bonu
Farewell,Vonok
Farina,Pun
Farm,Hofkah
Farmer,Freik
Fart,Reymsuf
Farther,Zugut
Farthest,Zogut
Fascinate,Vahnuk
Fashion,Vensedren
Fast,Nel
Fasten,Qulaav
Fastidious,Pogukus
Fastness,Nelom
Fat,Paag
Fatal,Dilos
Fate,Dez
Fateful,Dezmi
Father,Bormah
Fatherhood,Bormahmaar
Fatherly,Bormahus
Fathom,Seiluz
Fatty,Paagus
Faucet,Stornah
Fault,Tozein
Faultless,Tozeinvu
Faulty,Tozeinaal
Fauna,Lus
Favor,Hindah
Favorable,Hindahraal
Favorite,Zokhil
Fawn,Maldriin
Fax,Gut-Deykraan
Fealty,Midrot
Fear,Faas
Fearful,Zofaas
Fearless,Faasnu
Fearsome,Verfaas
Feast,Velaaz
Feat,Dren
Feather,Uft
Feathery,Uftus
February,Kreinvu
Feces,Draafraan
Feeble,Sahlovik
Feed,Nahkip
Feel,Fraan
Feeling,Pruvos
Feign,Kosmey
Feint,Kosmey
Fell,Mah
Fellow,Braan
Fellowship,Braandein
Female,Punah
Feminine,Punahuv
Fence,Grinvund
Fenestration,Vandulwahl
Feral,Fel
Ferment,Yiinahtiid
Fermentation,Yiinahtiid
Fern,Namok
Ferocity,Felaan
Fertile,Povaan
Fertility,Povaas
Fervent,Agzii
Fervid,Agzii
Fervor,Agzii
Fervorous,Agzii
Fester,Mebein
Festival,Visk
Fetish,Fook
Feud,Fokein
Fever,Qiistur
Few,Vogaan
Fiasco,Funtah
Fiction,Mahraal-Wahlaan
Fidelity,Midsil
Fief,Maljunaar
Fiefdom,Maljunaar
Field,Frod
Fiend,Dostoz
Fiendish,Dostozuv
Fierce,Norok
Fiercest,Norok
Fiery,Yolus
Fig,Fikon
Fight,Krif
Fighter,Krifiik
Figure,Suz
File,Deykraanjot
File,Vet
Fill,Gejahrii
Filly,Keyriin
Film,Bodilir
Filter,Bozeim
Filthy,Gaas
Fin,Lomviing
Final,Laat
Finance,Vahladyuld
Find,Siiv
Fine,Flogah
Finesse,Nulaar
Finger,Sinak
Fingernail,Haaljusk
Finish,Geblaan
Finite,Zah
Fir,Raalik
Fire,Yol
Fire,Ronah
,noun
,noun
Firearm,Thulzun
Fireball,Yolgram
Firefighter,Paalseyol
Firefly,Kunpusojur
Firelight,Yolkun
Fireplace,Fraad
Fireteam,Grahdopaan
Firewood,Agosvah
Firework,Geyolkah
First,Diist
,noun
,noun
Firstborn,Diistkiin
Fish,Ikin
Fisher,Ikind
Fisherman,Ikind
Fissure,Krentgol
Fist,Lon
Fit,Kovon
Fitness,Haasmul
Five,Hen
Fixer,Vokreniik
Fjord,Vaard
Flabbergasted,Lahkmojon
Flag,Luug
Flagon,Vaskin
Flail,Nimqah
Flak,Vobozun
Flake,Tojaar
Flame,Yolos
Flamethrower,Yolfuskiik
Flaming,Yoltaas
Flank,Feid
Flap,Pas
Flare,Rith
Flash,Rith
Flash,Prus
,noun
Flashback,Tiidahmaan
Flat,Yel
Flatbread,Yelbrot
Flatter,Hesvun
Flautist,Fifiikin
Flavor,Ken
Flavour,Ken
Flaw,Tozein
Flawed,Tozeinaal
Flawless,Tozeinvu
Fled,Bovul
Fledgling,Lokiin
Flee,Bovul
Fleet,Flaar
Fleet,Neltiid
Flesh,Slen
Fletch,Zironaaz
Fletcher,Zironaaz
Flexible,Tokingrah
Flick,Hosk
Flicker,Hoskov
Flight,Bod
Fling,Fusvok
Flint,Yolosgol
Flintlock,Nos-Thulzun
Flipper,Lomviing
Float,Horit
Flock,Tahlok
Flood,Faath
Floor,Keil
Flora,Lul
Florist,Oslemun
Flour,Pun
Flourish,Veyr
Flow,Ven
Flow,Bo
Flower,Osley
Fluency,Bozul
Fluent,Bozul
Fluff,Faskah
Fluffy,Faskus
Fluid,Bovaal
Flurry,Suraas
Flute,Fifiik
Flutist,Fifiikin
Fly,Pusojur
Fly,Bo
Foal,Keyroon
Foam,Fahtin
Foamy,Fahtinus
Focus,Morah
Foe,Paal
Fog,Bruh
Foggy,Bruhus
Foil,Griivtuz
Fold,Vaalt
Folder,Deykraanjot
Foliage,Fuhil
Follow,Kiibok
Follower,Kiibokin
Following,Mindun
Folly,Goltnu
Food,Kip
Fool,Mey
Foolish,Meyus
Foot,Pahrk
Football,Pahrk-Niiv
Footprint,Pahrkfar
Footstep,Pahrkmah
For,Fah
Forbid,Nilaad
Forbidden,Nilaadaan
Force,Fus
Forceful,Fuskei
Ford,Strahn
Foreboding,Dezmi
Foreign,Tirah
Foreigner,Tirah
Foremost,Usnaan
Foresee,Promiin
Foreshadow,Prodahven
Foresight,Promiin
Forest,Feykro
Foreswear,Duvaat
Foretell,Prodah
Foretold,Prodah
Forever,Mahfaeraak
Forevermore,Unslaar
Forge,Heim
Forger,Heimiik
Forget,Vodahmaan
Forgetful,Zovodahmaan
Forgetfulness,Zahgraan-Hah
Forgivable,Visfrozaal
Forgive,Frolaaz
Forgiveness,Frolaaz
Forgiving,Zofrolaaz
Forgo,Forgen
Forgotten,Vodahmin
Fork,Zof
Form,Buld
Formal,Prudaav
Formation,Buld
Former,Usliik
Formidable,Zomulaag
Forsake,Vodein
Forsaker,Vodeiniik
Forswear,Duvaat
Forsworn,Duvahriin
Forsworn,Haadvohiik
Forth,Amativ
Forthright,Zurdon
Fortify,Gebild
Fortitude,Mulaan
Fortnight,Ziinkeyal
Fortress,Govoldeim
Fortunate,Gluuskei
Fortune,Faraan
Forum,Staadsetinvaak
Forward,Amativ
Fossil,Qethsewuth
Foster,Nebenviing
Foul,Bein
Found,Rund
Foundation,Rundak
Founder,Wahliik
Fountain,Kiraav
Four,Hir
Fox,Ilit
Foxtrot,Ilitanz
Foxy,Ilitus
Fragment,Bruzah
Frame,Hakrim
Frantic,Hekofir
Fratricide,Kriizeymah
Fray,Keinul
Freak,Ahzuk
Freakish,Ahzukus
Freaky,Ahzukus
Fredas,Vensul
Free,Stin
Freedom,Stin
Freelance,Stintuz
Freeway,Felstrah
Freeze,Diin
Frenzy,Raholt
Frequent,Fahtiid
Frequently,Fahtiid
Fresh,Mahyun
Freshwater,Vahlom
Friday,Vensul
Fridge,Krahoskad
Friend,Fahdon
Friendliness,Fahdonusaar
Friendly,Fahdonus
Friendship,Fahdonmaar
Frigate,Aakitveysun
Frighten,Gefaas
Frill,Qahlon
Frisbee,Fusk-Vogil
Frivolous,Ofolin
Frog,Grel
From,Nol
Front,Teyn
Frontier,Teynaar
Frost,Fo
,noun
,noun
,noun
Frostbite,Folag
Frosting,Sufolduul
Frosty,Folus
Froth,Fahtin
Frothy,Fahtinus
Frown,Fiivut
Frozen,Diinaan
Frugal,Werzon
Fruit,Fruk
Fruitful,Povaan
Fruity,Frukus
Frustrate,Gerah
Fry,Friis
Fuel,Agniir
Fugitive,Gruhon
Fulfill,Jakah
Full,Jahrii
Fume,Hevaak
Fun,Moor
Function,Kosov
Function,Kosovaat
Functional,Drenaal
Funeral,Qothaan
Fungus,Kiib
Funny,Moorus
Fur,Raanom
Furious,Nahkei
Furl,Fundiir
Furnace,Yoziir
Furry,Raanomus
Further,Zugut
Fury,Nah
Fuse,Hilk
Fuse,Yoltrin
Fusion,Hilkaan
Fussy,Pogukus
Futile,Vunek
Future,Aluntiid
Futuristic,Aluntiiduv
Fuzzy,Faskus
Gabble,Tarukun
Gain,Ofaal
Gait,Todol
Galaxy,Filrod
Gale,Riik
Gallant,Ahkrinaal
Gallantry,Ahkrinaar
Galleon,Lotveysun
Gallon,Gizan
Gallows,Jahdor
Gamble,Dezahrel
Gambler,Dezahrelin
Game,Kred
Gang,Nagiis
Gap,Raf
Garage,Gultkey
Garbage,Dahstin
,noun
,noun
,noun
Garden,Graadnah
Gardener,Fahluaan
Gargantuan,Hotus
Gargoyle,Qerisogal
Garlic,Sotlaakir
Garment,Reken
Garnet,Sologaal
Gas,Suf
Gash,Skeniir
Gasp,Faasliis
Gate,Skuld
Gateway,Skuld
Gather,Feyal
Gather,Lahvraan
Gauche,Votarn
Gauntlet,Gasving
Gay,Medliinvas
Gaze,Yiir
Gazelle,Thraldriin
Gear,Sinkod
Gecko,Kliifkozvrii
Gem,Sogaal
Gemstone,Nonvulgolz
Gender,Veiliin
General,Pahnim
General,Kinbokein
Generation,Fronkenlik
Generosity,Zofanaar
Generous,Zofan
Genitalia,Pikoon
Genitals,Pikoon
Genius,Kleiro
Genocide,Pahkriivah
Gentle,Fask
Gentleness,Faskom
Genuine,Wiistel
Genuineness,Wiistelom
Geography,Hahsenor
Geology,Hahsegol
Gesture,Bomas
Get,Ofaal
Geyser,Frinvahwuld
Ghost,Gaaf
Ghostly,Gaafus
Ghoul,Slendugaaf
Giant,Hotus
Giant,Hot
Gibber,Tarukun
Giddish,Valkjiik
Gift,Ofan
Gigantic,Hotus
Giggle,Jeh
Ginger,Yolmaak
Giraffe,Dimbakey
Girl,Kon
Girlfriend,Onliin
Give,Ofan
Giver,Ofaniik
Glacier,Glakel
Glad,Frund
Glade,Olniiv
Gladly,Frundiin
Glass,Beyl
Glasses,Koraaveyz
Glaze,Sufolduul
Glean,Gahvraan
Glen,Olnaav
Glide,Vaan
Glimmer,Viim
Glimpse,Malkoraav
Glint,Viim
Glisten,Viim
Glitter,Viim-Viiz
Gloat,Kahmaar
Global,Pahleinuv
Gloom,Ath
Gloomy,Athus
Glorify,Gemoro
Glorious,Morokei
Glory,Moro
Gloss,Ozuriiv
Glossiness,Ozurom
Glossy,Ozur
Glove,Haalkot
Glow,Viim
Glue,Hokaalvoth
Glutton,Tarvoknaak
Gnarl,Keynaar
Gnarled,Keynaarus
Gnarly,Keynaarus
Gnat,Wox
Go,Bo
Goad,Ziidol
Goal,Krazahd
Goat,Ozak
Goatee,Ozakvum
Gobbler,Tarvoknaak
Goblet,Qodii
Goblin,Gogil
God,Rah
Goddess,Ekrah
Godless,Rahnu
Godlike,Rahus
Godly,Rahus
Gods,Rah
Godsend,Rahofan
Godsent,Rahofan
Goffer,Jaufrah
Gold,Yuvon
Gold,Yuld
Golden,Yuvon
Golem,Golzaar
Gone,Nusaan
Good,Pruzah
,interjection
Goodbye,Guur
Goose,Horos
Gore,Soslen
Gorge,Goltahraan
Gorger,Tarvoknaak
Gorilla,Lotatumun
Gory,Soslenus
Gossamer,Sufask
Gossip,Vaaruk
Got,Ofaal
Gouge,Skeniir
Gourd,Mahleyn
Govern,Muulmar
Government,Relmaar
Grab,Trog
Grace,Dun
Graceful,Zodun
Gracious,Dunkei
Grade,Leik
Gradient,Fahinbo
Grail,Qodii
Grain,Koos
Grainy,Koosus
Gram,Kranek
Grammar,Rot-Thun
Grand,Zoklot
Grandchild,Lotkiir
Granddaughter,Lotkiir
Grandfather,Bormahsebormah
Grandmother,Monahsemonah
Grandson,Lotkiir
Granite,Kreidol
,noun
Grant,Bolaav
Grape,Druf
,noun
Grapefruit,Drufruk
Graph,Grundograan
Graphic,Miinuv
Graphical,Miinuv
Grapnel,Kuzniir
Grapple,Haalgrah
Grapple,Kuzniir
Grasp,Volk
Grass,Veydo
Grassland,Evenik
Grateful,Kogaan
Gratitude,Nox
Grave,Graad
Grave,Soziik
Gravel,Gradol
Gravely,Soziik
Gravestone,Qethsegol
Graveyard,Graadstaad
Gravity,Goltefend
Gravy,Sliin-Ezil
Gray,Sadon
Grease,Karon
Greasy,Karonus
Great,Lot
Greataxe,Grahkun
Greater,Avokei
Greatest,Zoklot
Greatness,Lotaar
Greatsword,Lotzahkrii
Greave,Skevur
Greed,Tarvok
Greedy,Tarvokus
Green,Graag
Greet,Gruz
Greetings,DremYolLok
Grenade,Fuskaag
,noun
Grey,Sadon
Greybeard,Mudozaan
Grid,Dograan
Grief,Traas
Grievance,Krosaan
Grieve,Trah
Griever,Luvmahliik
Grievous,Traaskei
Griffin,Amokriin
Griffon,Amokriin
Grim,Veyd
Grin,Skiif
Grind,Dum
Grindstone,Zunrod
Grip,Volk
Groan,Galv
,noun
Groom,Ahmun
Groove,Rav
Grope,Volk
Gross,Krastov
Grotto,Kolraag
Grouch,Ahzidiik
Grouchy,Bahlus
Ground,Golt
Groundhog,Goltosgoriik
Group,Dopaan
Grove,Saf
Grow,Naram
Growl,Raal
Growth,Narand
Grudge,Gloz
Gruff,Golzul
Gruffness,Golzul
Grumpy,Bahlus
Grunt,Fuh
Gryphon,Amokriin
Guar,Juvroh
Guarantee,Guraad
Guard,Dein
Guardian,Vahlok
Guardianship,Vahlokeyv
Guess,Lorfonaar
Guest,Yunaar
Guidance,Aak
Guide,Aak
Guild,Tokah
Guile,Skras
Guillotine,Mahlotuz
Guilt,Beyrovin
Guilty,Beyraal
Guitar,Akwaar
Guitarist,Akwaarin
Gulf,Sokaaz
Gun,Thulzun
Gunman,Thulzunkod
Gunner,Thulzunkod
Gunpowder,Yolviiz
Gunsmith,Thulzun-Heimiik
Guru,Rahlozaan
Gush,Stiisut
Gust,Suraas
Gusto,Yezin
Gut,Kipaar
Gut,Veyko
Gym,Delahmulorun
Gymnasium,Delahmulorun
H'roldan,Ahroldan
Habit,Ireik
Hack,Graaz
Hacker,Rikaadiik
Had,Lost
Hag,Kerl
Haggard,Tekar
Hagraven,Kerluvak
Hail,Yein
Hail,Niiz
Hailstorm,Niiz
Hailstorm,Niizmah
Hair,Om
,noun
Hairy,Omus
Halberd,Zuthahkun
Half,Hef
Halfway,Mith
Halfwit,Hefhah
Hall,Mund
Hallow,Gestahdim
Hallucinate,Nokhahnu
Hallucination,Hahnuheim
Hallucinatory,Hahjok
Halo,Kunprenlon
Halt,Vuth
Ham,Noolas
Hamburger,Yelsliin
Hammer,Tu
Hammerfell,Sahqonor
Hamster,Girvestir
Hand,Haal
Handgun,Haal-Thulzun
Handle,Haalit
Handle,Sharaan
Handsome,Venro
Handwriting,Pelnoot
Hang,Tiik
Happen,Koros
Happiness,Unazom
Happy,Unaz
Harass,Terag
Harbinger,Rozol
Harbor,Staaz
Hard,Buruk
,noun
Hardly,Nuth
Hardware,Mulhaan-Rihahdrim
Hare,Kaviir
Hark,Huz
Harlot,Wiizaan
Harm,Aax
Harmful,Zoraax
Harmonious,Zodremhah
Harmony,Dremhah
Harness,Grongeyt
Harp,Yahjol
Harpoon,Zuthuz
Harpsichord,Lotrin-Lovaas
Harry,Terag
Harsh,Vahkaas
Harvest,Ahvos
Harvester,Ahvosiik
Has,Lost
Haste,Nelvaas
Hasten,Genel
Hasty,Nel
Hat,Dahral
Hatch,Kliin
Hatchet,Malhahkun
Hatchling,Yunkliin
Hate,Irkbaan
Hateful,Zoirkbaan
Hath,Loost
Hatred,Irkbaan
Haul,Wid
Haunt,Folook
Haunted,Folookaal
Haunter,Folokaan
Have,Lost
Haven,Gaard
Hawk,Skar
Hay,Kleydo
Hazard,Daak
He,Rok
Head,Klov
Headache,Klovhod
Headband,Klovriiv
Headless,Klovnu
Headmaster,Inmindaar
Headphone,Rihoniir
Headscarf,Klovriiv
Headset,Rihoniir
Heal,Vahraan
Healer,Vahraniik
Health,Haas
,noun
Healthful,Zohaas
Healthy,Zohaas
Heap,Mahkur
Hear,Hon
Hearken,Huzrah
Heart,Hil
,noun
Heartache,Hilaus
Heartbeat,Silmand
Hearth,Fraad
Hearthstone,Fraadgolz
Heartless,Iizil
Heartscale,Jahvrii
Hearty,Zohaas
Heat,Frin
,noun
Heater,Yosiik
Heathen,Nidrin
Heave,Seyl
Heaven,Gosvern
Heavenly,Kahliir
Heavy,Grotiin
Hectic,Hekofir
Hedgehog,Hirthod
Heed,
Heed,Huz
Heedless,Huznu
Heel,Fren
Height,Lokom
Heighten,Gelok
Heir,Vahriik
Heist,Gahrot
Helicopter,Horotviing
Heliotrope,Jensoqat
Hell,Ausul
Hello,Ahnok
Helm,Zurgah
Helmet,Zurgah
Help,Hiif
Help,Frey
Helper,Freyiik
Helpful,Zohiif
Helpless,Hiifnu
Hemp,Dulfuhil
Hence,Grok
Hence,Drus
Henceforth,Grok
Heptagon,Zudreid
Her,Ek
Herald,Qolaas
Heraldic,Qolaasuv
Herb,Arov
Herbal,Aronuv
Herbivore,Ahvusnaak
Herd,Doraan
Here,Het
Hereafter,Daarmindin
Hereafter,Mindinu
Herein,Kohet
Heresy,Folahzein
Heritage,Haavneviis
Hermit,Kunmaar
Hero,Hun
Heroic,Hungaar
Heroically,Zohungaar
Heroine,Naako
Heroism,Hunaar
Heron,Lingrahmos
Hers,Ek
Herself,Ekmaar
Hesitate,Sarein
Heterosexual,Vorliinvas
Hew,Kliiz
Hexagon,Sokreid
Hey,Ahnok
Hi,Ahnok
Hibernate,Felaag
Hidden,Soven
Hide,Iliis
Hide,Kelm
Hideous,Tekar
Hideousness,Tekarom
Hideout,Iliistaad
Hierarchy,Suleykoz
High,Lok
,noun
,noun
Highborn,Lotkiin
Higher,Avokei
Highlands,Tuzahrol
Highness,Lokom
Highway,Maagstrah
Highwayman,Strahtafiir
Hill,Ahrol
,noun
Hilt,Umdaal
Him,Mok
Himself,Okmaar
Hinder,Morkon
Hinderer,Morkoniid
Hindsight,Miindin
Hint,Daarz
Hippopotamus,Lotraxboz
Hircine,Drogsenir
Hire,Ahmil
Hirvut,Hirvut
His,Ok
Hiss,Liis
Hiss,Seyrt
Hisser,Seyrtiik
Hist,Geingolslen
Historian,Ustidaan
History,Usnutiid
Hit,Vek
Hoar,Fodiiz
Hoard,Ruuv
Hoarfrost,Fodiiz
Hoarse,Golzul
Hoarseness,Golzul
Hoax,Dubah
Hobby,Botiidren
Hockey,Iizkred
Hold,Kopiraak
Hold,Gevild
Hole,Raf
Holiday,Lotsul
Holler,Zaan
Hollow,Zahraan
Hollowness,Zahraanom
Holly,Krolaak
Hologram,Gaafilir
Holographic,Gaafilir
Holy,Stahdim
Home,Hofkiin
Homecoming,Hofkiin-Daal
Homeland,Himdah
Homeless,Hofkiinvu
Homely,Hofkiinus
Homesick,Hofkrosik
Homework,Hofkiin-Kroson
Homicide,Kriivey
Homophone,Rinis-Honaat
Homosexual,Medliinvas
Hone,Vet
Honest,Delaal
Honesty,Del
Honey,Tolal
Honor,Zin
Honorable,Zinaal
Honour,Zin
Honourable,Zinaal
Hood,Dahral
Hoof,Talaav
Hook,Vugzahd
Hope,Hind
Hopeful,Zohind
Hopeless,Hindnu
Hopeless,Nishind
Horde,Feyal
Horizon,Oldoz
Horizontal,Lingreid
Horker,Gahgort
Horn,Zahk
Horrible,Zomaar
Horrid,Gaas
Horrifying,Zomaar
Horror,Vol
Horse,Key
Horseless,Vothnikey
Horseshoe,Keystov
Hose,Lomatah
Hospital,Staadsehaas
Host,Vahjiik
Hostage,Grunzah
Hostile,Paalus
Hostility,Drensepaal
Hot,Frin
,noun
Hotwire,Fusgonah
Hound,Dok
Hour,Omaar
House,Tiidnavir
House,Hofkah
Housecarl,Hofkinspaan
Household,Hofkahnaar
Housekeeper,Hofkinaar
Hover,Horit
How,Vir
,adverb
,adverb
,adverb
However,Vutharaak
Howl,Krul
Huckster,Maltuniik
Huddle,Feyalvoth
Huff,Fuh
Hug,Suyah
Huge,Hotus
Hull,Skraav
Hum,Heyz
Human,Mun
Humanity,Jul
Humanoid,Muneyd
Humans,Jul
Humble,Bonaar
Humbleness,Bonaarom
Humid,Fukt
Humidity,Fukt
Humility,Bonaarom
Hummingbird,Velokraan
Humor,Tesiik
Humorous,Tesiikei
Humour,Tesiik
Hunchback,Prukriig
Hunger,Bahlok
Hungry,Bahlokus
Hunt,Nir
Hunter,Ah
Hurl,Fusk
Hurler,Fuskiid
Hurray,Jii
Hurricane,Surahgol
Hurry,Asnir
Hurt,Ahraan
Hurtful,Fiizkei
Husband,Ahmul
Husk,Eyzan
Hut,Qiiv
Huzzah,Jii
Hybrid,Hilkiin
Hydrology,Hahselom
Hymn,Weridaas
Hyper,Dahgriil
Hyperthermia,Sosfrin
Hypnosis,Laaghahdrim
Hypnotic,Laaghahdrimaal
Hypnotist,Laaghahdrimiik
Hypnotize,Gelaaghadrim
Hypocrite,Uvokriin
Hypothermia,Sosdiin
Hypothesize,Kronlorot
Hysteria,Faast
I,Zu'u
Ice,Iiz
,noun
Iceberg,Iizmalur
Icicle,Zoniiz
Icon,Andiir
Icy,Iizus
Idea,Zaak
Ideal,Zaakan
Identification,Kosrinisiiv
Identify,Kosrinisiiv
Identity,Kosrinis
Idiocy,Hinz
Idiot,Hefhah
Idiot,Hinz-Mey
Idiotic,Hefahus
Idol,Inzah
If,Waan
If,Fodos
Ignite,Geyol
Ignorance,Hinz
Ignorant,Hinzaal
Ignore,Nibor
Ill,Kras
Illegal,Vothunuv
Illegitimate,Nivahpruzah
Illness,Krasaar
Illuminate,Kun
Illumination,Kun
Illusion,Fiikath
Illusory,Hahjok
Image,Ilir
Imaginary,Hahjok
Imagination,Mahraal
Imaginative,Mahradaal
Imagine,Mahraal
Imbalance,Voro
Imbecile,Hefhah
Imbue,Guvok
Imga,Lotmuzaar
Imitate,Laniz
Imitator,Laniziik
Immediate,Zoknu
Immense,Makil
Immerse,Deytaak
Immersion,Deytaak
Imminent,Dasmah
Immobile,Nisbo
Immobilized,Nisbo
Immodest,Niyusgri
Immoral,Kaarn
Immortal,Vojoor
Immortal,Vozahlaas
Immortality,Vozahlaas
Immortalize,Gevozahlaas
Immovable,Nisbo
Immune,Sahlonu
Immunity,Sahlonu
Immutability,Tiidnul
Immutable,Tiidnu
Impact,Vek
Impale,Kinzuk
Impart,Gemindok
Impatient,Voprem
Impeccable,Tozeinvu
Impede,Gesein
Impel,Ahfiz
Impenetrable,Nikinz
Imperfect,Kunriiv
Imperial,Lokoltuv
Impermeable,Nikinz
Implement,Dreniir
Implore,Athlaan
Imply,Hirvut
Impolite,Vopruzahvun
Import,Kostaal
Importance,Nizraadom
Important,Riid
Impose,Ahrot
Impossible,Vokorasaal
Impostor,Orisnizah
Impregnate,Verkiir
Impress,Vreyviis
Impression,Vreyviis
Improbable,Vogrozah
Improper,Voprudaav
Improve,Gepruz
Impulse,Ahgreld
Impunity,Vopent
Impure,Voruv
In,Ko
Inability,Nismaar
Inanimate,Vonahl
Inapplicable,Nispeylaan
Inappropriate,Voprudaav
Inasmuch,Fodos
Inaudible,Nihon
Inbox,Funrahoskad
Incapability,Nismaar
Incapable,Nivos
Incarnate,Mel
Incarnation,Kopraanzii
Incense,Ziigel
Inception,Gonmaar
Incessant,Unslaav
Incest,Soskren
Inch,Minoh
Incident,Draknah
Include,Raavut
Income,Yuldofaal
Incomprehensible,Vomindoraan
Inconceivable,Vomindoraan
Inconsequential,Liizah
Inconsiderable,Nimiinahsul
Inconsistency,Uzgrolein
Inconsolable,Nisfranvoth
Incorrect,Folaas
Increase,Gezuk
Incubate,Klurfaad
Indecisive,Nidkomaan
Indeed,Vrah
Indefinite,Pogaan-Luft
Indelicate,Vohiraas
Indent,Kokrent
Independent,Vorivunaal
Indestructible,Nisal
Index,Faankeitz
Indicate,Miistir
Indigenous,Diistaak
Indignant,Paazrahgol
Indigo,Biijen
Indiscernible,Nivolos
Indistinguishable,Nivolos
Individual,Jormaar
Indivisible,Niskrenok
Indoor,Nebenkav
Indoors,Nebenkav
Indulge,Kovir
Inebriated,Teivo
Inedible,Nisnaak
Inevitable,Nivudoz
Inexorable,Nisaakrot
Inexperience,Niseirak
Inexperienced,Voheim
Infamous,Dufrahkei
Infamy,Dufrah
Infant,Pahdul
Infanticide,Kriipahdul
Infect,Beinoz
Infection,Krasraan
Infectious,Gekrastok
Inferior,Atumei
Infernal,Toorus
Inferno,Toor
Infinite,Vozah
Infinitive,Nuntrot
Infinity,Mintiinon
Infix,Koris
Inflict,Konos
Infliction,Konos
Influence,Paazigran
Inform,Gesiigor
Informal,Voprudaav
Information,Frahzogin
Infrared,Atumsahqo
Infringement,Vothunuval
Infuse,Guvok
Ingenious,Kleirus
Ingot,Goltin
Inhabit,Kolahney
Inhabitant,Staak
Inherent,Haavniid
Inherit,Haavneyz
Inhuman,Vojul
Initial,Kodiist
Initiate,Gonal
Initiative,Gonal
Injure,Ahraan
Injury,Ahraan
Ink,Virpal
Inlet,Jotserath
Inn,Haaf
Innate,Hahkiin
Inner,Kosil
Innermost,Zoko
Innocence,Stahr
Innocent,Stahraal
Innovation,Yunaan
Input,Koris
